ножницы|scissors
грузить|to load
долговязый|lanky
допить|to finish a drink
канат|rope
жандарм|gendarme
бездельник|lazy person
афиша|billboard
географический|geographic
репортер|reporter
полумрак|semi-darkness
сожалеть|regret
щетка|brush
чуточку|a little bit
взмолиться|beg
голосование|voting
калибр|gauge
содействие|assistance
возврат|return
зарядить|charge
психолог|psychologist
россыпь|placer
придвинуть|move
припадок|fit
бесцветный|colourless
соединиться|unite
повелитель|ruler
мираж|mirage
гарь|cinder
скромность|modesty
подчиниться|to submit
соловей|nightingale
трофейный|trophy
экономист|economist
недвижимость|real-estate
выдаваться|stick out
биржа|exchange
белокурый|blond
сметана|sour cream
машинный|machine
пики|spades
пелена|shroud
светофор|traffic lights
скопление|accumulation
автоматный|automatic
математик|mathematician
дикарь|savage
устранить|eliminate
укреплять|strengthen
успокаиваться|abate
достоверно|credibly
петербуржец|citizen of st petersburg
словесный|verbal
сумрачный|gloomy
ручеек|tiny brook
книжечка|little book
правоохранительный|law enforcement
предисловие|preface
писарь|scribe
лепить|to mold
помотать|shake
горбун|humpback
вдохнуть|breathe in
затрещать|to begin to crack
компромисс|compromise
селение|settlement
выстроиться|to line up
вирус|virus
лада|beloved one
вдыхать|breathe in
крытый|covered
выбивать|knock out
абстрактный|abstract
коттедж|cottage
изгородь|fence
надежно|reliably
воскресный|sunday
походный|march
склоняться|incline to
пустовать|to be empty
сионизм|zionism
щелчок|click
универмаг|department store
умываться|wash oneself
окрасить|to color
помеха|hindrance
баланс|balance
фильтр|filter
именоваться|be named
отмахиваться|brush aside
запыхаться|be out of breath
стереть|wipe
христианство|christianity
лабиринт|labyrinth
маяк|lighthouse
отдаление|distance
поразительно|amazing
неразборчивый|illegible
комплимент|compliment
суетливый|fussy
владивосток|vladivostok
пищевой|food
утрата|loss
дощечка|small wooden plank
затруднение|difficulty
преодоление|overcoming
наилучший|best
праздновать|to celebrate
хозяйский|owner
штабной|staff
затихать|abate
заскрипеть|begin to creak
вывозить|take out
дивный|wonderous
душистый|fragrant
обилие|abundance
загадочно|mysteriously
батон|long loaf
горелый|burnt
трактир|tavern
окаменеть|turn to stone
упрямство|stubbornness
игнорировать|to ignore
иллюминатор|porthole
бесплодный|fruitless
условно|conditionally
продвижение|advancement
простоять|stay
отогнать|to drive away
ревновать|be jealous
опрос|survey
щадить|spare
избить|to beat severely
крякнуть|quack
шланг|hose
скорбный|sorrowful
миномет|mortar
собрат|fellow
перечислить|to enumerate
перевозка|carriage
бесконечность|infinity
капот|bonnet
зашипеть|begin to hiss
смешивать|to mix
характеризоваться|be characterized
академический|academic
гимназист|gymnasia pupil
меняла|money-changer
капюшон|hood
предлагаться|offer
накопиться|accumulate
истерика|hysterics
зажить|begin to live
ручаться|to guarantee
закружиться|begin to go round
увлекательный|fascinating
дребезжать|tinkle
подсесть|to get hooked on
затаить|harbour
ворох|pile
снабдить|to supply
приморский|maritime
опешить|be taken aback
настольный|table
соотношение|ratio
искаженный|distorted
уточнять|to clarify
выродок|creep
проникновение|penetration
округлый|rounded
смущаться|be embarrassed
карп|carp
ударять|strike
покрываться|to be covered
благой|good
массаж|massage
отдельность|separateness
перспективный|perspective
всплеснуть|to splash
комментировать|comment
девятьсот|nine hundred
серьезность|seriousness
