ножницы|scissors
грузить|to load
долговязый|lanky
допить|to finish a drink
канат|rope
жандарм|gendarme
бездельник|lazy person
афиша|billboard
географический|geographic
репортер|reporter
полумрак|semi-darkness
сожалеть|regret
щетка|brush
чуточку|a little bit
взмолиться|beg
голосование|voting
калибр|gauge
содействие|assistance
возврат|return
зарядить|charge
психолог|psychologist
россыпь|placer
придвинуть|move
припадок|fit
бесцветный|colourless
соединиться|unite
повелитель|ruler
мираж|mirage
гарь|cinder
скромность|modesty
подчиниться|to submit
соловей|nightingale
трофейный|trophy
экономист|economist
недвижимость|real-estate
выдаваться|stick out
биржа|exchange
белокурый|blond
сметана|sour cream
машинный|machine
пики|spades
пелена|shroud
светофор|traffic lights
скопление|accumulation
автоматный|automatic
математик|mathematician
дикарь|savage
устранить|eliminate
укреплять|strengthen
успокаиваться|abate
достоверно|credibly
петербуржец|citizen of st petersburg
словесный|verbal
сумрачный|gloomy
ручеек|tiny brook
книжечка|little book
правоохранительный|law enforcement
предисловие|preface
писарь|scribe
лепить|to mold
помотать|shake
горбун|humpback
вдохнуть|breathe in
затрещать|to begin to crack
компромисс|compromise
селение|settlement
выстроиться|to line up
вирус|virus
лада|beloved one
вдыхать|breathe in
крытый|covered
выбивать|knock out
абстрактный|abstract
коттедж|cottage
изгородь|fence
надежно|reliably
воскресный|sunday
походный|march
склоняться|incline to
пустовать|to be empty
сионизм|zionism
щелчок|click
универмаг|department store
умываться|wash oneself
окрасить|to color
помеха|hindrance
баланс|balance
фильтр|filter
именоваться|be named
отмахиваться|brush aside
запыхаться|be out of breath
стереть|wipe
христианство|christianity
лабиринт|labyrinth
маяк|lighthouse
отдаление|distance
поразительно|amazing
неразборчивый|illegible
комплимент|compliment
суетливый|fussy
владивосток|vladivostok
пищевой|food
утрата|loss
дощечка|small wooden plank
затруднение|difficulty
преодоление|overcoming
наилучший|best
праздновать|to celebrate
хозяйский|owner
штабной|staff
затихать|abate
заскрипеть|begin to creak
вывозить|take out
дивный|wonderous
душистый|fragrant
обилие|abundance
загадочно|mysteriously
батон|long loaf
горелый|burnt
трактир|tavern
окаменеть|turn to stone
упрямство|stubbornness
игнорировать|to ignore
иллюминатор|porthole
бесплодный|fruitless
условно|conditionally
продвижение|advancement
простоять|stay
отогнать|to drive away
ревновать|be jealous
опрос|survey
щадить|spare
избить|to beat severely
крякнуть|quack
шланг|hose
скорбный|sorrowful
миномет|mortar
собрат|fellow
перечислить|to enumerate
перевозка|carriage
бесконечность|infinity
капот|bonnet
зашипеть|begin to hiss
смешивать|to mix
характеризоваться|be characterized
академический|academic
гимназист|gymnasia pupil
меняла|money-changer
капюшон|hood
предлагаться|offer
накопиться|accumulate
истерика|hysterics
зажить|begin to live
ручаться|to guarantee
закружиться|begin to go round
увлекательный|fascinating
дребезжать|tinkle
подсесть|to get hooked on
затаить|harbour
ворох|pile
снабдить|to supply
приморский|maritime
опешить|be taken aback
настольный|table
соотношение|ratio
искаженный|distorted
уточнять|to clarify
выродок|creep
проникновение|penetration
округлый|rounded
смущаться|be embarrassed
карп|carp
ударять|strike
покрываться|to be covered
благой|good
массаж|massage
отдельность|separateness
перспективный|perspective
всплеснуть|to splash
комментировать|comment
девятьсот|nine hundred
серьезность|seriousness
пчела|bee
вверху|above
неровный|uneven
скрестить|cross
гайка|nut
дачный|adjective
отскочить|rebound
христианин|christian
заказывать|to order
славно|it is nice
отличить|to distinguish
бушлат|pea-jacket
оконный|adjective
натворить|to screw up
палить|to burn
тахта|ottoman
честность|honesty
провокация|provocation
послание|message
тоскливый|sad
хм|hm
днепр|dnieper
защищаться|defend oneself
вслушиваться|listen attentively
разместить|post
выплата|payout
неудобный|uncomfortable
приклад|butt-stock
белобрысый|white blond
послевоенный|post-war
дуэль|duel
бессонница|insomnia
пристальный|fixed
царапина|scratch
купюра|bill
нейтральный|neutral
щепка|chips
растянуться|to stretch out
моча|urine
величественный|majestic
населённый|populated
земляной|ground
сорочка|shirt
интеллект|intellect
подтянуть|pull
замахать|begin to wave
продовольственный|food
противостоять|to confront
захлёбываться|choke
подталкивать|push slightly
наводчик|gunner
бушевать|rage
марс|mars
аллах|allah
замолкнуть|become silent
впиться|stick
посредине|middle
таможенный|customs
приглушить|damp down
косо|slantwise
листочек|small leaf
аварийный|emergency
ключевой|key
выставлять|put out
родимый|of birth
целиться|to fire
навык|skill
обогнать|outrun
задремать|doze off
шелестеть|rustle
гримаса|grimace
оживленный|bustling
цилиндр|cylinder
выработать|work out
одобрять|to approve
теленок|cow calf
ограничить|limit
дворик|small yard
пробыть|to stay
льгота|benefit
откровение|revelation
прописка|official document
вертел|spit
зрительный|eye
сойтись|come together
ливень|heavy shower
радужный|rainbowed
графика|script
соблазн|seduction
конкуренция|competition
арена|arena
зрелый|mature
островок|islet
пакт|pact
ознакомиться|to get to know
кормило|helm
попятиться|move backward
ритуал|ritual
алкогольный|alcoholic
кадровый|staff
профсоюз|trade union
навес|canopy
сень|canopy
валун|boulder
тонкость|subtlety
сучок|twig
крона|canopy
выпуклый|protuberant
рисованный|risky
котлета|cutlet
разборка|sorting out
лупить|peel
мышей|bristle grass
семинар|seminar
цветочек|flower
уголовник|criminal
старческий|senile
безлюдный|uninhabited
греться|warm oneself
безобидный|inoffensive
отопление|heating
подземелье|dungeon
мешочек|bag
родительский|paternal
вечеринка|party
смущённый|embarrassed
грамотный|literate
марксизм|marxism
лондонский|london
джунгли|jungle
переменить|change
убираться|to tidy up
поликлиника|outpatient clinic
напрямую|directly
тащиться|to trail
исчерпать|to exhaust
гулкий|resonant
пологий|gentle
отвлечь|distract
насмерть|to death
царица|tsarina
ударный|strike
сыщик|detective
застучать|begin to knock
продолжительность|duration
устремить|to direct
десантник|paratrooper
консервный|can
тормозить|to brake
хлебный|bread
вбежать|come running in
помедлить|to linger
увидать|see
высказывать|to express
оборонительный|defensive
увеличиться|increase
лепесток|petal
ненавистный|hated
компартия|communist party
рабство|slavery
фельдмаршал|field-marshal
увеличивать|increase
побеждать|to win
тщательный|thorough
поразиться|to be struck
осесть|settle
сочный|juicy
мари|mari
грабеж|robbery
старец|old man
попадание|hit
приобретение|acquisition
предшественник|predecessor
невнятный|indistinct
всплыть|come to the surface
орда|horde
скрутить|twist
впустить|let in
поводок|leash
утешение|consolation
кумир|idol
обидный|offensive
чашечка|small cup
стряхнуть|shake off
выспаться|to get enough sleep
панель|panel
освоить|master
доставаться|go to
сломаться|break
струиться|run
краешек|edge
старомодный|old-fashioned
обняться|to embrace
порождать|give birth
безумно|supremely
юношеский|youthful
экономия|conservation
подражать|imitate
храбрость|courage
разыгрывать|to act out
окончиться|to end
относительный|relative
зазвенеть|begin to ring
прорвать|break through
неясно|unclearly
индустриальный|industrial
сталь|steel
компенсация|compensation
перерезать|cut across
могущественный|powerful
гаркнуть|shout
шестерка|six
подвижной|mobile
псевдоним|pseudonym
молвить|say
внучек|grandchild
безразличный|indifferent
барахло|junk
выпалиться|to fall out
помойка|dustbin
совершаться|happen
латвия|latvia
форменный|uniform
приступать|to start something
консультация|consultation
настежь|wide open
борщ|borscht
производительный|productive
зашептать|begin to whisper
фанерный|plywood
беспокойный|anxious
колоссальный|colossal
беленький|white
интуиция|intuition
возвратить|return
прикоснуться|touch lightly
повторный|repeated
благополучный|prosperous
немедленный|immediate
колыхаться|heave
дымить|smoke
строгость|strictness
британия|britain
влиятельный|influential
очевидец|eyewitness
тираж|total copies
покрутить|twist
эстрада|bandstand
одесский|odessa
таксист|taxi-driver
расправа|reprisal
алло|hello
смотреться|to look a way
кишечный|digestive
пассажирский|passenger
распространять|spread
детдом|orphanage
студентка|female student
континент|continent
милостивый|merciful
вспотеть|sweat
смазать|to smear
деликатно|delicately
заданный|assigned
нехитрый|straighforward
кандидатура|candidacy
емкость|container
обострение|escalation
осмотреться|to look around
созреть|ripen
женитьба|marriage
известность|reputation
алюминиевый|aluminum
надобно|ought
соорудить|build
рак|cancer
переписать|to rewrite
бутылочка|small bottle
улика|evidence
печататься|publish
коломбина|columbine
подол|hem
недостаточный|insufficient
соблюдение|accordance
поджечь|set fire
упорство|persistence
достичь|to reach
зацепить|get hold
едкий|pungent
выбегать|run out
накладывать|to put on
световой|light
проспать|to oversleep
взлет|take-off
выписывать|to sign out
добром|goodness
выручать|help out
постареть|grow old
румянец|blush
сжигать|burn
пласт|layer
ограничиваться|limit oneself
доносить|to tell on
работяга|hard worker
вздор|nonsense
сидение|seat
чесать|to scratch
глухарь|cold-case
окрестный|neighboring
пожелание|wish
мстить|to avenge oneself
сапер|military person
карниз|ledge
торопить|to hasten
гармошка|garmon
железа|gland
композиция|composition
побаиваться|to be afraid
исподлобья|slyly
наклоняться|bend over
удалённый|remote
инерция|inertia
взвиться|to go up
инфекционный|infectious
графин|water-bottle
фотограф|photographer
согреться|to warm up
кузнец|smith
ль|if
заключать|make
плотник|carpenter
колдунья|witch
регулярный|regular
теплоход|motor ship
назло|to spite
промелькнуть|to flash by
обыватель|average man
подача|serving
сдержаться|resist
стемнеть|get dark
татарин|tatar
охранный|guard
тундра|tundra
писательский|writer
ансамбль|ensemble
смыть|wash off
позорный|disgraceful
линейка|ruler
пригнуться|to duck
таможня|customs
гасить|put out
отдаваться|give oneself up
угольный|coal
бездарный|ungifted
трусливый|cowardly
землетрясение|earthquake
седина|grey hair
тамошний|of that place
приучить|to train
приглядеться|take a closer look
наброситься|to pounce on
сковородка|frying pan
интрига|intrigue
красить|to paint
раздавать|to distribute
щуриться|squint
ножны|sheath
промокнуть|to get wet
насыпь|mound
разгадать|unravel
нелегальный|illegal
шелк|silk
ватный|cotton
сиреневый|lilac
томиться|to be tortured
утешить|to comfort
спелый|ripe
проработать|spend time working
бессилие|weakness
воплощение|incarnation
литва|lithuania
гонка|dashing
упрекать|to rebuke
бритый|shaven
клевать|peck
девятнадцатый|nineteenth
рыбий|fish
катушка|reel
задолго|long before
навеки|for ever
подчинение|submission
забавно|it is fun
окошечко|window
формальный|formal
полицай|policeman
восторженно|enthusiastically
футболист|football-player
выговаривать|to articulate
холодок|chill
протирать|to wipe down
чаща|thicket
петушок|cockerel
уговор|an agreement
обретать|find
правота|rightness
выбрить|shave
семнадцатый|seventeenth
голубоватый|bluish
арестант|prisoner
разгромить|to defeat
окуляр|eyepiece
параллельно|parallel
перепугать|frighten
косвенный|circumstantial
просматривать|to look over
разместиться|take place
раздражить|annoy
братский|brotherly
веер|fan
впредь|from now on
замучить|torture
переливаться|flow
сыпать|pour
понизить|lower
хихикать|giggle
обыкновенно|usually
звякнуть|ring
жеребец|stallion
раса|race
эвакуация|evacuation
веник|broom
въезд|entrance
сулить|to bode
дюжина|dozen
похвала|praise
прогуливаться|promenade
почтение|respect
формально|nominally
шарф|scarf
вправе|has the right
узенький|very narrow
антарктида|antarctic
пьянка|drinking party
любезно|kindly
колечко|ringlet
достойно|worthily
звуковой|sound
сми|media
восклицать|exclaim
альпинист|climber
сев|sowing
порох|gunpowder
нюхать|to sniff
флажок|flag
виновник|culprit
забежать|come by
враз|all together
заиграть|begin to play
варёный|boiled
идейный|ideological
сукно|cloth
преграда|obstacle
присаживаться|take a seat
штамп|stamp
доверчивый|trusting
мучение|torment
шершавый|rough
лицензия|licence
жигули|lada
монолог|monologue
угадывать|to guess
сверстник|peer
мятежник|rebel
переполненный|overflowing
кассета|cassette
босиком|barefoot
повлиять|to influence
отбой|end signal
артериальный|arterial
кидаться|to throw oneself
гулко|dully
сладость|sweets
пригрозить|threaten
гласить|to read as
вездеход|land-rover
ласточка|swallow
